Drug_Name,DILI-Concern Label,DILI-Risk Level,DILI-Concern Source
epirizole,Most-DILI-Concern,High,Logistic regression model prediction 
epirubicin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
epitiostanol,Most-DILI-Concern,High,Logistic regression model prediction 
eplerenone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
epoetin alfa,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
epomediol,Most-DILI-Concern,High,Logistic regression model prediction 
epoprostenol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
eprazinone,Other-DILI-Concern,Low,Logistic regression model prediction 
eprosartan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
eptifibatide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
erdosteine,Other-DILI-Concern,Low,Logistic regression model prediction 
ergocalciferol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ergonovine,Other-DILI-Concern,Low,Logistic regression model prediction 
ergotamine,Other-DILI-Concern,Low,Logistic regression model prediction 
erlotinib,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ertapenem,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ertugliflozin,Other-DILI-Concern,Low,Logistic regression model prediction 
erythromycin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
erythropoietin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
escin,Other-DILI-Concern,Low,Logistic regression model prediction 
escitalopram,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
eslicarbazepine,Other-DILI-Concern,Low,Logistic regression model prediction 
esmolol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
esomeprazole,Other-DILI-Concern,Low,Logistic regression model prediction 
esomeprazole Sodium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
estazolam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
estradiol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
estramustine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
estriol,Other-DILI-Concern,Low,Logistic regression model prediction 
"Estrogens, Conjugated",Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
estrone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
estropipate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
eszopiclone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
etacrynic acid,Most-DILI-Concern,High,Logistic regression model prediction 
etamsylate,Other-DILI-Concern,Low,Logistic regression model prediction 
etanercept,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ethacrynic acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ethambutol,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ethanolamine oleate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ethaverine,Other-DILI-Concern,Low,Logistic regression model prediction 
ethenzamide,Most-DILI-Concern,High,Logistic regression model prediction 
ethionamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ethisterone,Most-DILI-Concern,High,Logistic regression model prediction 
ethosuximide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ethotoin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ethoxzolamide,Other-DILI-Concern,Low,Logistic regression model prediction 
ethynodiol,Most-DILI-Concern,High,Logistic regression model prediction 
etidronic acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
etifoxine,Most-DILI-Concern,High,Logistic regression model prediction 
etilefrine,Other-DILI-Concern,Low,Logistic regression model prediction 
etizolam,Other-DILI-Concern,Low,Logistic regression model prediction 
etodolac,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
etofenamate,Other-DILI-Concern,Low,Logistic regression model prediction 
etofibrate,Most-DILI-Concern,High,Logistic regression model prediction 
etofylline,Other-DILI-Concern,Low,Logistic regression model prediction 
etofylline clofibrate,Most-DILI-Concern,High,Logistic regression model prediction 
etomidate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
etonogestrel,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
etoposide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
etoricoxib,Other-DILI-Concern,Low,Logistic regression model prediction 
etravirine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
etretinate,Most-DILI-Concern,High,Logistic regression model prediction 
eucalyptol,Other-DILI-Concern,Low,Logistic regression model prediction 
eugenol,Other-DILI-Concern,Low,Logistic regression model prediction 
eupatilin,Most-DILI-Concern,High,Logistic regression model prediction 
everolimus,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
exalamide,Most-DILI-Concern,High,Logistic regression model prediction 
exametazime,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
exemestane,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
exenatide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
exifone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ezetimibe,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fadrozole,Most-DILI-Concern,High,Logistic regression model prediction 
falecalcitriol,Most-DILI-Concern,High,Logistic regression model prediction 
falnidamol,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
famciclovir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
famotidine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
faropenem,Most-DILI-Concern,High,Logistic regression model prediction 
fasudil,Other-DILI-Concern,Low,Logistic regression model prediction 
febuxostat,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
felbamate,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
felbinac,Other-DILI-Concern,Low,Logistic regression model prediction 
felodipine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fenbendazole,Other-DILI-Concern,Low,Logistic regression model prediction 
fenbufen,Most-DILI-Concern,High,Logistic regression model prediction 
fenclozic acid,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
fenipentol,Most-DILI-Concern,High,Logistic regression model prediction 
fenofibrate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fenofibric acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fenoldopam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fenoprofen,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
fenoterol,Other-DILI-Concern,Low,Logistic regression model prediction 
fenoverine,Most-DILI-Concern,High,Logistic regression model prediction 
fenspiride,Other-DILI-Concern,Low,Logistic regression model prediction 
fentiazac,Most-DILI-Concern,High,Logistic regression model prediction 
fenticonazole,Most-DILI-Concern,High,Logistic regression model prediction 
ferumoxides,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ferumoxsil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ferumoxytol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fesoterodine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fexofenadine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fialuridine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
fiduxosin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
filgrastim,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fimasartan,Most-DILI-Concern,High,Logistic regression model prediction 
finasteride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fingolimod,Other-DILI-Concern,Low,Logistic regression model prediction 
fipexide,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
flavoxate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
flecainide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fleroxacin,Other-DILI-Concern,Low,Logistic regression model prediction 
flibanserin,Other-DILI-Concern,Low,Logistic regression model prediction 
floctafenine,Most-DILI-Concern,High,Logistic regression model prediction 
flopropione,Most-DILI-Concern,High,Logistic regression model prediction 
flosequinan,Most-DILI-Concern,High,Logistic regression model prediction 
floxuridine,Most-DILI-Concern,High,Logistic regression model prediction 
flubendazole,Most-DILI-Concern,High,Logistic regression model prediction 
flucloxacillin,Most-DILI-Concern,High,Logistic regression model prediction 
fluconazole,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
flucytosine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fludarabine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fludrocortisone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fludroxycortide,Other-DILI-Concern,Low,Logistic regression model prediction 
flumazenil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
flumequine,Other-DILI-Concern,Low,Logistic regression model prediction 
flumethasone,Most-DILI-Concern,High,Logistic regression model prediction 
flunarizine,Other-DILI-Concern,Low,Logistic regression model prediction 
flunisolide,Other-DILI-Concern,Low,Logistic regression model prediction 
fluocinolone,Other-DILI-Concern,Low,Logistic regression model prediction 
fluocinonide,Other-DILI-Concern,Low,Logistic regression model prediction 
fluorescein,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fluorometholone,Other-DILI-Concern,Low,Logistic regression model prediction 
fluorouracil,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fluoxetine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fluoxymesterone,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
flupentixol,Other-DILI-Concern,Low,Logistic regression model prediction 
fluphenazine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
flupirtine,Most-DILI-Concern,High,Logistic regression model prediction 
flurazepam,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
flurbiprofen,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fluspirilene,Most-DILI-Concern,High,Logistic regression model prediction 
flutamide,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
fluticasone,Other-DILI-Concern,Low,Logistic regression model prediction 
flutrimazole,Most-DILI-Concern,High,Logistic regression model prediction 
fluvastatin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fluvoxamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
folic acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
follitropin alfa/beta,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fomepizole,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fondaparinux sodium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
formestane,Most-DILI-Concern,High,Logistic regression model prediction 
formoterol,Other-DILI-Concern,Low,Logistic regression model prediction 
forskolin,Other-DILI-Concern,Low,Logistic regression model prediction 
fosamprenavir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fosaprepitant,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
foscarnet,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fosfomycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fosfosal,Most-DILI-Concern,High,Logistic regression model prediction 
fosinopril,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fosphenytoin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
fospropofol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fostamatinib,Other-DILI-Concern,Low,Logistic regression model prediction 
fotemustine,Most-DILI-Concern,High,Logistic regression model prediction 
frovatriptan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ftorafur,Most-DILI-Concern,High,Logistic regression model prediction 
fudosteine,Most-DILI-Concern,High,Logistic regression model prediction 
fulvestrant,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fumagillin,Most-DILI-Concern,High,Logistic regression model prediction 
furazolidone,Other-DILI-Concern,Low,Logistic regression model prediction 
furosemide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
fursultiamine,Other-DILI-Concern,Low,Logistic regression model prediction 
fusidic acid,Most-DILI-Concern,High,Logistic regression model prediction 
gabapentin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gabexate,Other-DILI-Concern,Low,Logistic regression model prediction 
gadobenate dimeglumine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gadodiamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gadofosveset trisodium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gadolinium ethoxybenzyl DTPA,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gadopentetate dimeglumine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gadoteridol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gadoversetamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
galantamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gallamine,Other-DILI-Concern,Low,Logistic regression model prediction 
gallium nitrate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gallopamil,Most-DILI-Concern,High,Logistic regression model prediction 
galsulfase,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gamma hydroxybutyric acid,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ganciclovir,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ganirelix acetate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
garenoxacin,Most-DILI-Concern,High,Logistic regression model prediction 
gatifloxacin,Other-DILI-Concern,Low,Logistic regression model prediction 
gefitinib,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
gemcitabine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
gemfibrozil,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
gemifloxacin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gemtuzumab ozogamicin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
gentamycin,Other-DILI-Concern,Low,Logistic regression model prediction 
gepefrine,Most-DILI-Concern,High,Logistic regression model prediction 
gestodene,Most-DILI-Concern,High,Logistic regression model prediction 
gestrinone,Most-DILI-Concern,High,Logistic regression model prediction 
gimeracil,Other-DILI-Concern,Low,Logistic regression model prediction 
glafenine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
glatiramer acetate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
glibenclamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gliclazide,Most-DILI-Concern,High,Logistic regression model prediction 
glimepiride,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
glipizide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gliquidone,Other-DILI-Concern,Low,Logistic regression model prediction 
gluceptate,Most-DILI-Concern,High,Logistic regression model prediction 
gluconolactone,Most-DILI-Concern,High,Logistic regression model prediction 
glucosamine,Other-DILI-Concern,Low,Logistic regression model prediction 
glutamic acid,Other-DILI-Concern,Low,Logistic regression model prediction 
glyburide,Most-DILI-Concern,High,Logistic regression model prediction 
glycerol,Other-DILI-Concern,Low,Logistic regression model prediction 
glycopyrrolate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
golimumab,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gonadorelin,Other-DILI-Concern,Low,Logistic regression model prediction 
goserelin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gramicidin,Other-DILI-Concern,Low,Logistic regression model prediction 
granisetron,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
grazoprevir,Other-DILI-Concern,Low,Logistic regression model prediction 
griseofulvin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
guacetisal,Other-DILI-Concern,Low,Logistic regression model prediction 
guaiacol,Other-DILI-Concern,Low,Logistic regression model prediction 
guaifenesin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
gualenic acid,Most-DILI-Concern,High,Logistic regression model prediction 
guanadrel,Other-DILI-Concern,Low,Logistic regression model prediction 
guanethidine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
guanfacine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
guanidine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
halcinonide,Other-DILI-Concern,Low,Logistic regression model prediction 
halobetasol,Other-DILI-Concern,Low,Logistic regression model prediction 
halofantrine,Most-DILI-Concern,High,Logistic regression model prediction 
haloperidol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
haloperidol decanoate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
haloprogin,Most-DILI-Concern,High,Logistic regression model prediction 
halothane,Most-DILI-Concern,High,Logistic regression model prediction 
heparin sodium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
heptaminol,Most-DILI-Concern,High,Logistic regression model prediction 
hesperidin,Most-DILI-Concern,High,Logistic regression model prediction 
hetacillin,Most-DILI-Concern,High,Logistic regression model prediction 
hetastarch,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hexachlorophene,Other-DILI-Concern,Low,Logistic regression model prediction 
hexaminolevulinate,Other-DILI-Concern,Low,Logistic regression model prediction 
hexestrol,Most-DILI-Concern,High,Logistic regression model prediction 
hexetidine,Most-DILI-Concern,High,Logistic regression model prediction 
hexoprenaline,Other-DILI-Concern,Low,Logistic regression model prediction 
hexylcaine,Other-DILI-Concern,Low,Logistic regression model prediction 
hexylresorcinol,Other-DILI-Concern,Low,Logistic regression model prediction 
histamine,Other-DILI-Concern,Low,Logistic regression model prediction 
histamine diphosphate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
histrelin acetate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
homochlorcyclizine,Most-DILI-Concern,High,Logistic regression model prediction 
hyaluronidase,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hyaluronidase recombinant human,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydralazine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydrochlorothiazide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydrocortisone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydroflumethiazide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydromorphone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydroquinidine,Most-DILI-Concern,High,Logistic regression model prediction 
hydroquinone,Most-DILI-Concern,High,Logistic regression model prediction 
hydroxocobalamin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydroxyamphetamine,Other-DILI-Concern,Low,Logistic regression model prediction 
hydroxychloroquine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydroxyprogesterone,Other-DILI-Concern,Low,Logistic regression model prediction 
hydroxyprogesterone caproate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
hydroxyurea,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
hydroxyzine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ibandronate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ibritumomab tiuxetan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ibrutinib,Other-DILI-Concern,Low,Logistic regression model prediction 
ibudilast,Other-DILI-Concern,Low,Logistic regression model prediction 
ibufenac,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ibuprofen,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ibuproxam,Other-DILI-Concern,Low,Logistic regression model prediction 
ibutilide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
icatibant,Other-DILI-Concern,Low,Logistic regression model prediction 
icosapent,Most-DILI-Concern,High,Logistic regression model prediction 
icotinib,Most-DILI-Concern,High,Logistic regression model prediction 
idarubicin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
idebenone,Other-DILI-Concern,Low,Logistic regression model prediction 
idelalisib,Other-DILI-Concern,Low,Logistic regression model prediction 
idoxuridine,Other-DILI-Concern,Low,Logistic regression model prediction 
idursulfase,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ifenprodil,Other-DILI-Concern,Low,Logistic regression model prediction 
ifosfamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
iguratimod,Most-DILI-Concern,High,Logistic regression model prediction 
iloperidone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
iloprost,Other-DILI-Concern,Low,Logistic regression model prediction 
imatinib,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
imidafenacin,Other-DILI-Concern,Low,Logistic regression model prediction 
imidapril,Most-DILI-Concern,High,Logistic regression model prediction 
imiglucerase,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
imipenem,Most-DILI-Concern,High,Logistic regression model prediction 
imipramine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
imiquimod,Other-DILI-Concern,Low,Logistic regression model prediction 
indacaterol,Other-DILI-Concern,Low,Logistic regression model prediction 
indalpine,Most-DILI-Concern,High,Logistic regression model prediction 
indapamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
indeloxazine,Most-DILI-Concern,High,Logistic regression model prediction 
indinavir,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
indobufen,Other-DILI-Concern,Low,Logistic regression model prediction 
indocyanine green,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
indomethacin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
indoprofen,Most-DILI-Concern,High,Logistic regression model prediction 
indoramin,Other-DILI-Concern,Low,Logistic regression model prediction 
infliximab,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ingenol,Other-DILI-Concern,Low,Logistic regression model prediction 
inimur,Most-DILI-Concern,High,Logistic regression model prediction 
inosine,Other-DILI-Concern,Low,Logistic regression model prediction 
"interferon alfa-2a, recombinant",Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
interferon alfa-2b,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
interferon alfacon-1,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
interferon beta-1a,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
interferon beta-1b,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
interferon gamma-1b,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
iocetamic acid,Most-DILI-Concern,High,Logistic regression model prediction 
iodipamide meglumine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
iodixanol,Other-DILI-Concern,Low,Logistic regression model prediction 
iodoquinol,Other-DILI-Concern,Low,Logistic regression model prediction 
iohexol,Other-DILI-Concern,Low,Logistic regression model prediction 
iopamidol,Other-DILI-Concern,Low,Logistic regression model prediction 
iopromide,Other-DILI-Concern,Low,Logistic regression model prediction 
iothalamate sodium,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ioversol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ioxilan,Other-DILI-Concern,Low,Logistic regression model prediction 
ipragliflozin,Most-DILI-Concern,High,Logistic regression model prediction 
ipriflavone,Most-DILI-Concern,High,Logistic regression model prediction 
iproniazid,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
irbesartan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
irinotecan,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
irsogladine,Other-DILI-Concern,Low,Logistic regression model prediction 
isaxonine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
isepamicin,Most-DILI-Concern,High,Logistic regression model prediction 
isocarboxazid,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
isoconazole,Most-DILI-Concern,High,Logistic regression model prediction 
isoetharine,Other-DILI-Concern,Low,Logistic regression model prediction 
isoflurane,Most-DILI-Concern,High,Logistic regression model prediction 
isoflurophate,Most-DILI-Concern,High,Logistic regression model prediction 
isoleucine,Most-DILI-Concern,High,Logistic regression model prediction 
isometheptene,Other-DILI-Concern,Low,Logistic regression model prediction 
isoniazid,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
isoprenaline,Other-DILI-Concern,Low,Logistic regression model prediction 
isopropamide,Other-DILI-Concern,Low,Logistic regression model prediction 
isopropyl myristate,Other-DILI-Concern,Low,Logistic regression model prediction 
isopropyl palmitate,Most-DILI-Concern,High,Logistic regression model prediction 
isoproterenol,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
isorbide mononitrate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
isosorbide dinitrate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
isosorbide mononitrate,Other-DILI-Concern,Low,Logistic regression model prediction 
isotretinoin,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
isoxicam,Most-DILI-Concern,High,Logistic regression model prediction 
isoxsuprine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
isradipine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
istradefylline,Most-DILI-Concern,High,Logistic regression model prediction 
itopride,Other-DILI-Concern,Low,Logistic regression model prediction 
itraconazole,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ivabradine,Other-DILI-Concern,Low,Logistic regression model prediction 
ivacaftor,Most-DILI-Concern,High,Logistic regression model prediction 
ivermectin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ivosidenib,Other-DILI-Concern,Low,Logistic regression model prediction 
ixabepilone,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ixazomib,Other-DILI-Concern,Low,Logistic regression model prediction 
josamycin,Most-DILI-Concern,High,Logistic regression model prediction 
kanamycin,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ketamine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ketanserin,Most-DILI-Concern,High,Logistic regression model prediction 
ketoconazole,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
ketoprofen,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ketorolac,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
ketotifen,Other-DILI-Concern,Low,Logistic regression model prediction 
kinetin,Other-DILI-Concern,Low,Logistic regression model prediction 
labetalol,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
lacidipine,Other-DILI-Concern,Low,Logistic regression model prediction 
lacosamide,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
lactulose,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
lafutidine,Other-DILI-Concern,Low,Logistic regression model prediction 
lamivudine,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
lamotrigine,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
landiolol,Most-DILI-Concern,High,Logistic regression model prediction 
lanoconazole,Other-DILI-Concern,Low,Logistic regression model prediction 
lanreotide acetate,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
