drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders,DILIConcern,DILI Risk Level,DILIConcern source
mesoridazine,0.020547945,0.066210046,0,0.006849315,0.00913242,0.02283105,0.038812785,0.171232877,0.011415525,0.00456621,0.02283105,0.029680365,0.050228311,0.011415525,0.02283105,0.011415525,0.194063927,0,0.002283105,0.098173516,0.020547945,0.02739726,0.052511416,0.029680365,0.00456621,0.00456621,0.066210046,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
mestinon,0.012718601,0.037837838,0.004769475,0.001589825,0.000953895,0.034976153,0.2063593,0.133863275,0.00508744,0.007949126,0.021939587,0.049284579,0.037837838,0.013354531,0.052464229,0.004769475,0.13608903,0.005405405,0.036883943,0.029252782,0.015262321,0.003497615,0.055961844,0.06709062,0.002861685,0.004769475,0.017170111,Other-DILI-Concern,Low,Logistic regression model predictions 
mestranol,0.025641026,0.051282051,0,0.025641026,0,0,0.076923077,0.025641026,0,0,0,0,0,0,0.076923077,0.025641026,0.025641026,0,0,0,0,0.076923077,0.307692308,0.025641026,0,0,0.256410256,Most-DILI-Concern,High,Logistic regression model predictions 
metacresol,0,0,0,0,0,0,0,0.25,0,0.375,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
metafolin,0,0.016528926,0,0.008264463,0,0.033057851,0.05785124,0.198347107,0,0.033057851,0.016528926,0.05785124,0.05785124,0.033057851,0.033057851,0,0.140495868,0,0.016528926,0.165289256,0,0,0.033057851,0.066115702,0.016528926,0.008264463,0.008264463,Other-DILI-Concern,Low,Logistic regression model predictions 
metamizole,0.080799003,0.026759053,0.003739889,0.0043777,0.000608819,0.027077958,0.093352274,0.10828284,0.011654539,0.054416838,0.024265793,0.017597773,0.021830516,0.005827269,0.008291537,0.00188444,0.065317601,0.001333604,0.003073087,0.021569594,0.014118807,0.002725191,0.057344969,0.297190734,0.000521845,0.001565535,0.044472792,Other-DILI-Concern,Low,Logistic regression model predictions 
metaproterenol,0.003461919,0.176557864,0.00148368,0.00148368,0,0.010385757,0.102373887,0.131058358,0.00098912,0.015825915,0.038575668,0.004945598,0.007912957,0.005440158,0.007912957,0.00148368,0.159248269,0.00148368,0.001978239,0.057368942,0.004945598,0.00148368,0.165677547,0.060830861,0.00049456,0.001978239,0.034619189,Other-DILI-Concern,Low,Logistic regression model predictions 
metaraminol,0.004975124,0.069651741,0,0,0,0.009950249,0.034825871,0.164179104,0.014925373,0.104477612,0.009950249,0.054726368,0.054726368,0.009950249,0,0,0.069651741,0.004975124,0.004975124,0.004975124,0.019900498,0,0.039800995,0.099502488,0,0.004975124,0.218905473,Other-DILI-Concern,Low,Logistic regression model predictions 
metaxalone,0.009719222,0.033207343,0.000539957,0.006479482,0.002699784,0.015928726,0.070464363,0.162796976,0.008099352,0.086933045,0.014038877,0.09962203,0.039686825,0.011339093,0.053185745,0.002969762,0.118790497,0.000539957,0.004049676,0.108261339,0.011609071,0.004319654,0.040766739,0.058855292,0.011069114,0.00512959,0.018898488,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
metergoline,0.008474576,0.008474576,0.084745763,0.025423729,0,0.016949153,0.228813559,0.093220339,0.008474576,0.008474576,0,0,0.042372881,0.008474576,0.008474576,0.008474576,0.161016949,0.025423729,0,0.050847458,0,0.016949153,0.016949153,0.050847458,0,0,0.127118644,Most-DILI-Concern,High,Logistic regression model predictions 
metformin,0.010402122,0.025307148,0.001792899,0.003544488,0.001264118,0.0117406,0.187940479,0.103765089,0.013029504,0.011005263,0.018383416,0.044029314,0.092280618,0.143398908,0.026554741,0.005263027,0.077722605,0.003090066,0.015532954,0.035767105,0.051944511,0.003808879,0.027331389,0.056984459,0.001743326,0.006725439,0.019647534,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methacholine,0,0.04040404,0,0,0,0.03030303,0.050505051,0.141414141,0,0.01010101,0.02020202,0.03030303,0.04040404,0.01010101,0.03030303,0.01010101,0.181818182,0.01010101,0,0.050505051,0.01010101,0,0.202020202,0.060606061,0,0,0.070707071,Other-DILI-Concern,Low,Logistic regression model predictions 
methacycline,0.021021021,0.009009009,0.009009009,0.012012012,0.003003003,0.018018018,0.18018018,0.123123123,0.039039039,0.006006006,0.03003003,0,0.015015015,0.003003003,0.027027027,0,0.069069069,0,0,0.009009009,0.009009009,0.015015015,0.027027027,0.354354354,0,0,0.021021021,Most-DILI-Concern,High,Logistic regression model predictions 
methadone,0.004426431,0.081328996,0.006239667,0.001546584,0.001733241,0.013332622,0.035624767,0.155698363,0.006666311,0.005599701,0.013919258,0.212095355,0.044557624,0.011732708,0.016772439,0.001813237,0.083488881,0.013092635,0.004586422,0.147538798,0.008772865,0.004559757,0.071809503,0.020798891,0.014319236,0.005199723,0.012745987,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methamphetamine,0.004952538,0.1021461,0.002888981,0.001031779,0.000619067,0.006397028,0.019397441,0.1021461,0.010111432,0.001650846,0.010936855,0.204498556,0.034667767,0.008873298,0.010936855,0.000619067,0.059017747,0.004539827,0.002476269,0.257119274,0.00825423,0.002476269,0.071605448,0.009905076,0.040239373,0.008873298,0.01361948,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methantheline,0,0.125,0,0,0,0.035714286,0.160714286,0.107142857,0,0.053571429,0.035714286,0,0,0,0.035714286,0,0.107142857,0,0,0.107142857,0.017857143,0,0.035714286,0.107142857,0,0,0.071428571,Other-DILI-Concern,Low,Logistic regression model predictions 
methapyrilene,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0.2,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
metharbital,0,0,0,0,0,0,0.125,0.25,0,0,0,0.125,0,0,0.125,0,0.125,0,0,0.125,0,0,0,0,0,0,0.125,Other-DILI-Concern,Low,Logistic regression model predictions 
methazolamide,0.086677368,0.020866774,0.001605136,0.009630819,0.001605136,0.032102729,0.101123596,0.101123596,0.008025682,0.008025682,0.02247191,0.012841091,0.04494382,0.038523274,0.017656501,0,0.138041734,0,0.001605136,0.030497592,0.030497592,0.006420546,0.043338684,0.224719101,0,0,0.017656501,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methenamine,0.014534884,0.010174419,0.002906977,0.005813953,0,0.015988372,0.138081395,0.093023256,0.014534884,0.026162791,0.034883721,0.023255814,0.034883721,0.023255814,0.024709302,0.004360465,0.087209302,0.001453488,0.011627907,0.026162791,0.056686047,0.00872093,0.034883721,0.287790698,0,0.002906977,0.015988372,Other-DILI-Concern,Low,Logistic regression model predictions 
methicillin,0.094619666,0.022263451,0,0.001855288,0,0.003710575,0.027829314,0.202226345,0.014842301,0.00742115,0.014842301,0,0.025974026,0.003710575,0.009276438,0,0.022263451,0,0,0,0.178107607,0.001855288,0.014842301,0.326530612,0,0,0.027829314,Most-DILI-Concern,High,Logistic regression model predictions 
methimazole,0.170286387,0.012442023,0.008908194,0.002797615,0.021644703,0.007435765,0.045866156,0.084517411,0.075830082,0.014871531,0.026135611,0.015828609,0.179341824,0.009644408,0.044099242,0.001325186,0.042626813,0.004564529,0.001766915,0.01177943,0.007877494,0.002355886,0.026282854,0.171390709,0.000736214,0.000883457,0.008760951,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
methionine,0.026737968,0.021390374,0,0.005347594,0,0.032085561,0.139037433,0.112299465,0.016042781,0.021390374,0.026737968,0.053475936,0.085561497,0.026737968,0.032085561,0.005347594,0.112299465,0.010695187,0.010695187,0.037433155,0.032085561,0,0.026737968,0.139037433,0.005347594,0.005347594,0.016042781,Other-DILI-Concern,Low,Logistic regression model predictions 
methocarbamol,0.005511329,0.036946316,0.002041233,0.011635028,0.00122474,0.026331904,0.150030618,0.121249235,0.006736069,0.038171055,0.011839151,0.0657277,0.023678302,0.014696877,0.030618494,0.00122474,0.184731578,0.00061237,0.004898959,0.071851398,0.009593795,0.004286589,0.041028781,0.097979179,0.006327822,0.003061849,0.027964891,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methohexital,0.003460208,0.049596309,0.001153403,0.001153403,0,0.016147636,0.038062284,0.275663206,0.012687428,0.053056517,0.010380623,0.026528258,0.024221453,0.008073818,0.025374856,0.003460208,0.130334487,0,0.032295271,0.027681661,0.003460208,0.001153403,0.122260669,0.076124567,0,0.001153403,0.056516724,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methotrexate,0.065500254,0.013718603,0.002425608,0.003645039,0.001745201,0.011297413,0.100762145,0.192148806,0.026284048,0.025815716,0.095062628,0.040024742,0.065570946,0.016466742,0.050752204,0.046241191,0.055360417,0.00239468,0.003795259,0.016497669,0.02171118,0.00434312,0.054657919,0.057136545,0.003185544,0.006521307,0.016935074,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
methoxamine,0.020833333,0.395833333,0,0,0,0,0.0625,0.104166667,0,0,0.041666667,0,0.020833333,0.020833333,0,0.020833333,0.125,0,0,0.020833333,0,0,0,0.104166667,0,0.020833333,0.041666667,Most-DILI-Concern,High,Logistic regression model predictions 
methoxsalen,0.018197574,0.013864818,0.004332756,0.005199307,0.001733102,0.029462738,0.105719237,0.122183709,0.017331023,0.014731369,0.028596187,0.075389948,0.038994801,0.012131716,0.011265165,0.041594454,0.08492201,0.003466205,0.006065858,0.020797227,0.008665511,0.003466205,0.039861352,0.247833622,0.000866551,0.005199307,0.03812825,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methoxyflurane,0,0.03125,0,0,0,0.010416667,0.09375,0.142361111,0.09375,0.010416667,0.006944444,0.052083333,0.065972222,0.027777778,0.006944444,0,0.159722222,0,0,0.072916667,0.104166667,0,0.069444444,0.024305556,0,0,0.027777778,Other-DILI-Concern,Low,Logistic regression model predictions 
methoxyphenamine,0,0,0,0.111111111,0,0,0.111111111,0.111111111,0,0,0,0,0.111111111,0.111111111,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0.222222222,Most-DILI-Concern,High,Logistic regression model predictions 
methsuximide,0.039711191,0.025270758,0.010830325,0.007220217,0,0.007220217,0.068592058,0.158844765,0.014440433,0.010830325,0.010830325,0.072202166,0.079422383,0.025270758,0.025270758,0.003610108,0.202166065,0.003610108,0.025270758,0.061371841,0.018050542,0.010830325,0.028880866,0.079422383,0.003610108,0.003610108,0.003610108,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methyclothiazide,0.043956044,0.032967033,0.005494505,0.002747253,0.005494505,0.013736264,0.07967033,0.134615385,0.027472527,0.010989011,0.005494505,0.005494505,0.024725275,0.101648352,0.03021978,0,0.129120879,0.002747253,0,0.043956044,0.032967033,0.035714286,0.019230769,0.159340659,0,0,0.052197802,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methyl aminolevulinate,0.003350084,0.006700168,0.001675042,0.005025126,0.001675042,0.043551089,0.020100503,0.199329983,0.001675042,0.015075377,0.051926298,0.130653266,0.018425461,0.005025126,0.016750419,0.045226131,0.072026801,0,0,0.011725293,0.006700168,0.001675042,0.018425461,0.308207705,0.001675042,0,0.013400335,Other-DILI-Concern,Low,Logistic regression model predictions 
methyl salicylate,0.009734182,0.011231748,0.000935979,0.00804942,0.000374392,0.029576937,0.044926994,0.277049794,0.003743916,0.029389742,0.025833021,0.102208911,0.015724448,0.010108574,0.025084238,0.005615874,0.046611756,0.000935979,0.027892175,0.036503182,0.005615874,0.001497566,0.038187945,0.220891052,0.003931112,0.003369525,0.014975665,Other-DILI-Concern,Low,Logistic regression model predictions 
methyldopa,0.113589057,0.025052037,0.007582516,0.006839132,0.002007136,0.010035682,0.083556348,0.148825453,0.099910794,0.004088611,0.008994945,0.021335117,0.054118347,0.01798989,0.025498067,0.003345227,0.106229557,0.01843592,0.000371692,0.040960452,0.013678263,0.01523937,0.022450193,0.096193875,0.000148677,0.002378828,0.051144811,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
methyldopate,0,0.066666667,0.066666667,0,0,0,0,0.066666667,0.133333333,0,0,0.133333333,0.066666667,0.066666667,0,0,0,0.066666667,0,0.066666667,0,0,0.066666667,0.066666667,0,0.066666667,0.066666667,Most-DILI-Concern,High,Logistic regression model predictions 
methylergometrine,0.005439331,0.064853556,0.00167364,0.009623431,0.00083682,0.016317992,0.194979079,0.09539749,0.00292887,0.017154812,0.007531381,0.085774059,0.033054393,0.005857741,0.023849372,0.00125523,0.131799163,0.018410042,0.00041841,0.028451883,0.010878661,0.012133891,0.056903766,0.094142259,0.00125523,0.007949791,0.071129707,Other-DILI-Concern,Low,Logistic regression model predictions 
methylergonovine,0.005469079,0.064787547,0.001682793,0.009676062,0.000841397,0.016407236,0.196886832,0.094657131,0.002944889,0.016827934,0.00757257,0.084981069,0.03323517,0.005889777,0.02313841,0.001262095,0.13083719,0.018510728,0.000420698,0.029448885,0.010938157,0.012200252,0.05637358,0.094657131,0.001262095,0.007993269,0.071098023,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methylnaltrexone,0.003652968,0.024657534,0,0.000913242,0.000913242,0.00456621,0.205479452,0.284018265,0.005479452,0.002739726,0.032876712,0.077625571,0.034703196,0.020091324,0.021004566,0.010045662,0.066666667,0,0.030136986,0.02739726,0.014611872,0.006392694,0.024657534,0.040182648,0.012785388,0.01826484,0.030136986,Other-DILI-Concern,Low,Logistic regression model predictions 
methylparaben,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,Other-DILI-Concern,Low,Logistic regression model predictions 
methylphenidate,0.006666667,0.023874034,0.001734997,0.003149138,0.001865716,0.014521687,0.043600713,0.232430184,0.003446227,0.004551396,0.007510398,0.155139632,0.035923945,0.040439691,0.017658942,0.001473559,0.096387403,0.001402258,0.086833036,0.139881165,0.005157457,0.006571598,0.012691622,0.031182412,0.008520499,0.004135472,0.013250149,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methylprednisolone,0.027146168,0.02878221,0.001605744,0.00443852,0.007877236,0.01846606,0.088058413,0.129171527,0.014300214,0.042249254,0.084543953,0.042643116,0.055958675,0.041809947,0.048323815,0.011119022,0.093375547,0.002984261,0.004620302,0.042521927,0.021177647,0.004453668,0.048732825,0.087088907,0.002302577,0.003453865,0.042794601,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methyltestosterone,0.018018018,0.045045045,0,0.004504505,0.009009009,0.009009009,0.04954955,0.117117117,0.207207207,0.004504505,0.018018018,0.013513514,0.058558559,0.018018018,0.031531532,0.040540541,0.076576577,0,0.004504505,0.036036036,0.018018018,0.054054054,0.045045045,0.076576577,0.009009009,0.004504505,0.031531532,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
methylthiouracil,0.407407407,0,0,0,0,0,0.037037037,0.185185185,0.074074074,0,0.037037037,0,0.037037037,0,0.037037037,0,0,0,0,0,0,0,0,0.185185185,0,0,0,Most-DILI-Concern,High,Logistic regression model predictions 
methysergide,0.00968523,0.079096045,0,0.004035513,0,0.015334948,0.17433414,0.12267958,0.00645682,0.004842615,0.013720743,0.00645682,0.033091203,0.005649718,0.049233253,0.008071025,0.098466505,0.000807103,0,0.055690073,0.033898305,0.013720743,0.092816788,0.083131558,0.001614205,0.004035513,0.083131558,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
meticrane,0.222222222,0,0,0,0,0,0.055555556,0.027777778,0.055555556,0,0.027777778,0.027777778,0.083333333,0.027777778,0,0,0.055555556,0,0,0,0.027777778,0,0,0.361111111,0,0,0.027777778,Most-DILI-Concern,High,Logistic regression model predictions 
metipranolol,0.001848429,0.04805915,0,0.003696858,0,0.360443623,0.022181146,0.085027726,0.001848429,0.036968577,0.212569316,0.005545287,0.005545287,0.001848429,0.009242144,0,0.040665434,0,0,0.011090573,0,0,0.011090573,0.12754159,0,0,0.014787431,Most-DILI-Concern,High,Logistic regression model predictions 
metirosine,0.069767442,0.046511628,0,0,0,0.023255814,0.069767442,0.139534884,0.023255814,0,0,0.069767442,0.069767442,0.046511628,0,0.046511628,0.11627907,0,0,0.093023256,0.093023256,0,0.023255814,0.023255814,0,0.046511628,0,Most-DILI-Concern,High,Logistic regression model predictions 
metixene,0.05,0.05,0,0,0,0.02,0.16,0.08,0.01,0.01,0.01,0.03,0.03,0.02,0.01,0,0.15,0,0,0.19,0.04,0,0.04,0.05,0,0,0.05,Other-DILI-Concern,Low,Logistic regression model predictions 
metoclopramide,0.006253082,0.019982247,0.001518887,0.003570372,0.001479436,0.045556761,0.059404281,0.098895355,0.004319953,0.0115396,0.005266792,0.066791597,0.030466515,0.00991222,0.029213926,0.001439984,0.351277246,0.001262452,0.001015879,0.096981951,0.005828977,0.00492159,0.02535753,0.056169247,0.045842785,0.001213137,0.014518197,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
metolazone,0.019990366,0.048651252,0.001445087,0.004576108,0.000963391,0.00867052,0.068400771,0.103564547,0.00867052,0.008429672,0.017822736,0.037090559,0.073699422,0.184489403,0.025289017,0.001445087,0.088150289,0.000240848,0.005057803,0.026734104,0.104046243,0.005298651,0.032996146,0.064065511,0.001204239,0.003371869,0.055635838,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
metoprolol,0.007768484,0.097501517,0.001885239,0.009827078,0.002676172,0.019664991,0.066275895,0.129810609,0.006554997,0.013695068,0.021225189,0.078757476,0.067792754,0.025797434,0.034746901,0.008537748,0.106927711,0.002697842,0.016143712,0.06886539,0.015168588,0.008916963,0.056199619,0.058745774,0.003813816,0.007096732,0.062906301,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
metrizamide,0.005481121,0.015834348,0,0.012180268,0.001218027,0.026187576,0.15773447,0.078562728,0.002436054,0.007917174,0.061510353,0.001218027,0.014616322,0.004872107,0.025578563,0,0.384896468,0,0,0.106577345,0.015834348,0.001218027,0.026187576,0.02679659,0,0,0.023142509,Other-DILI-Concern,Low,Logistic regression model predictions 
metrizoic acid,0.004424779,0.038716814,0,0.002212389,0.001106195,0.011061947,0.097345133,0.08960177,0.002212389,0.225663717,0.032079646,0,0.001106195,0,0.006637168,0,0.045353982,0,0,0.013274336,0.005530973,0,0.099557522,0.272123894,0,0,0.05199115,Most-DILI-Concern,High,Logistic regression model predictions 
metronidazole,0.021666898,0.017763066,0.001553952,0.008654126,0.000517984,0.017649363,0.206940988,0.115649438,0.010738696,0.039455232,0.031609667,0.017548293,0.024787437,0.01461726,0.02012558,0.001137038,0.134082094,0.002994201,0.002589921,0.027920609,0.013227547,0.008717294,0.029045014,0.211388071,0.00107387,0.001364446,0.017181914,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
metyrapone,0.075757576,0.025252525,0.002525253,0,0.068181818,0.012626263,0.070707071,0.136363636,0.027777778,0,0.045454545,0.050505051,0.073232323,0.035353535,0.017676768,0.027777778,0.080808081,0.027777778,0,0.032828283,0.012626263,0.005050505,0.045454545,0.063131313,0.002525253,0.002525253,0.058080808,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
metyrosine,0.071428571,0.047619048,0,0,0,0.023809524,0.071428571,0.119047619,0.023809524,0,0,0.071428571,0.071428571,0.047619048,0,0.047619048,0.119047619,0,0,0.095238095,0.095238095,0,0.023809524,0.023809524,0,0.047619048,0,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
mexiletine,0.03125,0.076349432,0.002130682,0.01171875,0.002840909,0.021661932,0.138494318,0.111860795,0.048650568,0.006747159,0.021661932,0.012784091,0.049005682,0.028409091,0.019886364,0.003196023,0.135653409,0.00390625,0.001775568,0.066051136,0.016335227,0.008522727,0.033735795,0.122514205,0,0.002840909,0.022017045,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
mezlocillin,0.016152247,0.064768911,0.00047977,0.003518311,0,0.021429714,0.090516552,0.196385735,0.004477851,0.093235247,0.004317927,0.003358388,0.011994243,0.003198465,0.004797697,0,0.07660323,0.00047977,0.000159923,0.010714857,0.008635855,0.000159923,0.092915401,0.248200864,0,0,0.04349912,Other-DILI-Concern,Low,Logistic regression model predictions 
mianserin,0.123638181,0.030584708,0.002098951,0.009495252,0.002498751,0.019390305,0.054472764,0.103948026,0.053573213,0.0013993,0.013293353,0.029085457,0.057271364,0.023488256,0.050074963,0.00149925,0.174912544,0.0015992,0.003598201,0.089755122,0.017191404,0.007796102,0.018690655,0.074862569,0.0009995,0.0005997,0.034182909,Most-DILI-Concern,High,Logistic regression model predictions 
mibefradil,0.005876068,0.16951567,0,0.00730057,0.000712251,0.01727208,0.083333333,0.16488604,0.004451567,0.004095442,0.019408832,0.009437322,0.05787037,0.0252849,0.049501425,0.002492877,0.153133903,0,0,0.033653846,0.028133903,0.008012821,0.058938746,0.042913105,0.000178063,0.000712251,0.052884615,Other-DILI-Concern,Low,Logistic regression model predictions 
micafungin,0.06099951,0.02155806,0.000489956,0.000979912,0.00122489,0.002939735,0.085497305,0.167074963,0.056589907,0.018128368,0.100195982,0.149191573,0.0933366,0.024497795,0.01200392,0.006369427,0.033561979,0.000244978,0.000979912,0.011513964,0.033806957,0.000979912,0.042871142,0.05267026,0.000734934,0.002694757,0.018863302,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
miconazole,0.004598906,0.006054255,0.00203749,0.001397136,0.000174642,0.00465712,0.060658982,0.19105833,0.001571778,0.015135639,0.025730586,0.038886948,0.033181977,0.003551054,0.010944231,0.001047852,0.038945162,0.002794272,0.006752823,0.010653161,0.012341367,0.391314472,0.012981721,0.110955874,0.001047852,0.00058214,0.010944231,Other-DILI-Concern,Low,Logistic regression model predictions 
micronomicin,0.009259259,0.009259259,0,0,0,0.018518519,0.231481481,0.12962963,0,0.074074074,0.009259259,0,0.027777778,0.009259259,0.009259259,0,0.092592593,0,0,0.009259259,0.018518519,0,0.037037037,0.277777778,0,0,0.037037037,Other-DILI-Concern,Low,Logistic regression model predictions 
midazolam,0.007229271,0.063698731,0.001438477,0.002139274,0.000922101,0.010917675,0.040240484,0.157236648,0.008630865,0.039502803,0.007930068,0.045736205,0.049867217,0.008151372,0.010954559,0.001807318,0.176858955,0.002249926,0.004942461,0.075390971,0.007782532,0.000848333,0.112422544,0.081735025,0.001659782,0.001659782,0.078046621,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
midecamycin,0.010526316,0.015204678,0,0.005847953,0,0.024561404,0.180116959,0.087719298,0.022222222,0.015204678,0.015204678,0.002339181,0.012865497,0.010526316,0.009356725,0,0.049122807,0,0,0.010526316,0.010526316,0.002339181,0.031578947,0.467836257,0,0,0.016374269,Other-DILI-Concern,Low,Logistic regression model predictions 
midodrine,0.013658537,0.05902439,0.00195122,0.005853659,0.002926829,0.018536585,0.070731707,0.16097561,0.005853659,0.009268293,0.014634146,0.065853659,0.068292683,0.01804878,0.023414634,0.00195122,0.16195122,0.002439024,0.016097561,0.058536585,0.025853659,0.004390244,0.027317073,0.064390244,0.004390244,0.004390244,0.089268293,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
midostaurin,0.089387755,0.036326531,0.001632653,0.003265306,0.002040816,0.005306122,0.150204082,0.16122449,0.020816327,0.007755102,0.116734694,0.027346939,0.092244898,0.028163265,0.015102041,0.052653061,0.037142857,0,0.00244898,0.008979592,0.02122449,0.00122449,0.054285714,0.03877551,0,0.006530612,0.019183673,Other-DILI-Concern,Low,Logistic regression model predictions 
mifepristone,0.030549898,0.010668218,0.003248957,0.001988168,0.003200466,0.004412763,0.063621375,0.105372903,0.002861022,0.005334109,0.03185918,0.153573853,0.030210455,0.014547571,0.03185918,0.004606731,0.051886335,0.142420716,0.000290951,0.009746872,0.006643391,0.048103967,0.015274949,0.025652216,0.002667055,0.102657356,0.096741344,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
miglitol,0.014619883,0.029239766,0,0.004385965,0.001461988,0.010233918,0.326023392,0.073099415,0.067251462,0.011695906,0.029239766,0.019005848,0.062865497,0.112573099,0.016081871,0.011695906,0.083333333,0.004385965,0.002923977,0.007309942,0.014619883,0,0.019005848,0.065789474,0.001461988,0.002923977,0.00877193,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
miglustat,0.030094583,0.010318143,0.031814273,0.006018917,0.000859845,0.006018917,0.159071367,0.153052451,0.010318143,0.002579536,0.076526225,0.036973345,0.092003439,0.021496131,0.031814273,0.006018917,0.166809974,0,0.00171969,0.0361135,0.010318143,0.002579536,0.044711952,0.008598452,0.011177988,0.031814273,0.011177988,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
milnacipran,0.005976096,0.041832669,0.000996016,0.009213147,0.002241036,0.019920319,0.136952191,0.119646414,0.007843625,0.022285857,0.010209163,0.03498506,0.068351594,0.019048805,0.033864542,0.001369522,0.141060757,0.001743028,0.001743028,0.108814741,0.03436255,0.016309761,0.021538845,0.090388446,0.004731076,0.001743028,0.042828685,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
milrinone,0.032165833,0.226590422,0.001429593,0.000714796,0.001429593,0.004288778,0.053609721,0.165832738,0.012151537,0.009292352,0.018584703,0.047891351,0.060757684,0.033595425,0.006433167,0.000714796,0.06147248,0.00571837,0.008577555,0.012866333,0.025732666,0.002859185,0.037884203,0.039313796,0,0.007862759,0.122230164,Other-DILI-Concern,Low,FDA/Liver Toxicity Knowledge Base
miltefosine,0.030054645,0.005464481,0,0.005464481,0,0.035519126,0.431693989,0.144808743,0.00273224,0.00273224,0.035519126,0.046448087,0.032786885,0.030054645,0.021857923,0.008196721,0.032786885,0,0,0.010928962,0.030054645,0,0.016393443,0.049180328,0,0.027322404,0,Other-DILI-Concern,Low,Logistic regression model predictions 
minaprine,0.145631068,0.038834951,0,0.009708738,0,0.029126214,0.058252427,0.038834951,0.106796117,0.009708738,0.009708738,0,0.038834951,0.009708738,0.019417476,0,0.233009709,0,0,0.077669903,0.009708738,0.019417476,0.019417476,0.097087379,0,0,0.029126214,Most-DILI-Concern,High,Logistic regression model predictions 
minocycline,0.027363858,0.01314007,0.001625576,0.023932087,0.005508896,0.030931094,0.10250158,0.105526957,0.045877359,0.031969656,0.02460941,0.017158855,0.043303531,0.012959451,0.075724736,0.004380023,0.123363136,0.002889912,0.003025377,0.024654565,0.012327283,0.008353653,0.043393841,0.188024925,0.002483518,0.001986815,0.022983835,Most-DILI-Concern,High,FDA/Liver Toxicity Knowledge Base
minodronic acid,0.016174402,0.021097046,0,0.003516174,0.00140647,0.006329114,0.111111111,0.05766526,0.018987342,0.000703235,0.073136428,0.214486639,0.034458509,0.02742616,0.184950774,0.042194093,0.059774965,0,0.000703235,0.007032349,0.020393812,0.000703235,0.016174402,0.016877637,0.00281294,0.054149086,0.007735584,Other-DILI-Concern,Low,Logistic regression model predictions 
